in s,C1 in V,C2 in V,C3 in V,C4 in V
-4.4947728E-02,-2.47266E-02,8.69922E-01,-7.32422E-03,4.78945E-01
-4.4947040E-02,-2.47266E-02,5.76953E-01,-6.34766E-03,4.10586E-01
-4.4946352E-02,-2.47266E-02,8.69922E-01,-6.34766E-03,3.32461E-01
-4.4945664E-02,-1.49609E-02,2.83984E-01,-2.44141E-03,2.15273E-01
-4.4944976E-02,-1.49609E-02,5.76953E-01,-2.44141E-03,1.46914E-01
-4.4944288E-02,4.57031E-03,-1.06641E-01,1.46484E-03,9.80859E-02
-4.4943600E-02,1.43359E-02,-8.98437E-03,3.41797E-03,2.97266E-02
-4.4942912E-02,5.33984E-02,-8.98437E-03,4.88281E-04,-2.88672E-02
-4.4942224E-02,6.31641E-02,-8.98437E-03,1.46484E-03,-8.74609E-02
-4.4941536E-02,6.31641E-02,8.86719E-02,-3.41797E-03,-1.16758E-01
-4.4940848E-02,5.33984E-02,4.79297E-01,-6.34766E-03,-1.46055E-01
-4.4940160E-02,3.38672E-02,4.79297E-01,-8.30078E-03,-1.06992E-01
-4.4939472E-02,2.41016E-02,5.76953E-01,-4.39453E-03,-1.26523E-01
-4.4938784E-02,1.43359E-02,5.76953E-01,-5.37109E-03,-8.74609E-02
-4.4938096E-02,5.33984E-02,3.81641E-01,-3.41797E-03,-9.33594E-03
-4.4937408E-02,5.33984E-02,8.86719E-02,-6.34766E-03,3.94922E-02
-4.4936720E-02,1.43359E-02,-1.06641E-01,-4.88281E-04,5.90234E-02
-4.4936032E-02,4.57031E-03,-8.98437E-03,-1.46484E-03,9.80859E-02
-4.4935344E-02,6.31641E-02,1.86328E-01,-4.88281E-04,1.17617E-01
-4.4934656E-02,5.33984E-02,-8.98437E-03,1.46484E-03,1.27383E-01
-4.4933968E-02,4.36328E-02,1.86328E-01,4.88281E-04,1.56680E-01
-4.4933280E-02,5.33984E-02,4.79297E-01,-4.88281E-04,1.37148E-01
-4.4932592E-02,3.38672E-02,9.67578E-01,-3.41797E-03,1.07852E-01
-4.4931904E-02,4.57031E-03,7.72266E-01,-4.39453E-03,9.80859E-02
-4.4931216E-02,-5.19531E-03,4.79297E-01,-4.39453E-03,5.90234E-02
-4.4930528E-02,-2.47266E-02,3.81641E-01,-6.34766E-03,1.01953E-02
-4.4929840E-02,-5.19531E-03,1.86328E-01,-1.46484E-03,-2.88672E-02
-4.4929152E-02,-1.49609E-02,-8.98437E-03,-3.41797E-03,-3.86328E-02
-4.4928464E-02,4.57031E-03,-1.06641E-01,2.44141E-03,-5.81641E-02
-4.4927776E-02,1.43359E-02,-1.06641E-01,-1.46484E-03,-5.81641E-02
-4.4927088E-02,4.57031E-03,4.79297E-01,-4.88281E-04,-3.86328E-02
-4.4926400E-02,4.57031E-03,5.76953E-01,-4.88281E-04,1.01953E-02
-4.4925712E-02,4.36328E-02,4.79297E-01,-3.41797E-03,1.01953E-02
-4.4925024E-02,3.38672E-02,5.76953E-01,-4.88281E-04,3.94922E-02
-4.4924336E-02,1.43359E-02,6.74609E-01,-2.44141E-03,7.85547E-02
-4.4923648E-02,-1.49609E-02,3.81641E-01,-6.34766E-03,6.87891E-02
-4.4922960E-02,3.38672E-02,2.83984E-01,-4.88281E-04,7.85547E-02
-4.4922272E-02,-5.19531E-03,3.81641E-01,4.88281E-04,9.80859E-02
-4.4921584E-02,4.57031E-03,1.86328E-01,-3.41797E-03,1.07852E-01
-4.4920896E-02,1.43359E-02,8.86719E-02,2.44141E-03,5.90234E-02
-4.4920208E-02,5.33984E-02,8.86719E-02,2.44141E-03,1.99609E-02
-4.4919520E-02,5.33984E-02,1.86328E-01,-4.88281E-04,-1.91016E-02
-4.4918832E-02,2.41016E-02,-2.04297E-01,1.46484E-03,-9.33594E-03
-4.4918144E-02,3.38672E-02,2.83984E-01,-2.44141E-03,1.01953E-02
-4.4917456E-02,2.41016E-02,-8.98437E-03,-3.41797E-03,4.29687E-04
-4.4916768E-02,-5.19531E-03,1.86328E-01,-1.46484E-03,-9.33594E-03
-4.4916080E-02,-5.19531E-03,8.86719E-02,-2.44141E-03,1.01953E-02
-4.4915392E-02,1.43359E-02,8.86719E-02,-2.44141E-03,4.92578E-02
-4.4914704E-02,-5.19531E-03,-8.98437E-03,-4.88281E-04,2.97266E-02
-4.4914016E-02,2.41016E-02,-8.98437E-03,-2.44141E-03,6.87891E-02
-4.4913328E-02,4.57031E-03,2.83984E-01,-4.88281E-04,5.90234E-02
-4.4912640E-02,2.41016E-02,2.83984E-01,-4.88281E-04,7.85547E-02
-4.4911952E-02,5.33984E-02,1.86328E-01,-2.44141E-03,2.97266E-02
-4.4911264E-02,3.38672E-02,2.83984E-01,-4.39453E-03,2.97266E-02
-4.4910576E-02,3.38672E-02,8.86719E-02,-3.41797E-03,2.97266E-02
-4.4909888E-02,3.38672E-02,-1.06641E-01,-5.37109E-03,4.29687E-04
-4.4909200E-02,2.41016E-02,-8.98437E-03,-4.39453E-03,-9.33594E-03
-4.4908512E-02,5.33984E-02,-1.06641E-01,-5.37109E-03,-2.88672E-02
-4.4907824E-02,2.41016E-02,-1.06641E-01,-3.41797E-03,1.99609E-02
-4.4907136E-02,2.41016E-02,-1.06641E-01,4.88281E-04,1.01953E-02
-4.4906448E-02,4.57031E-03,-2.04297E-01,4.88281E-04,2.97266E-02
-4.4905760E-02,4.57031E-03,8.86719E-02,4.88281E-04,5.90234E-02
-4.4905072E-02,1.43359E-02,2.83984E-01,-1.46484E-03,4.92578E-02
-4.4904384E-02,1.43359E-02,-8.98437E-03,-2.44141E-03,4.92578E-02
-4.4903696E-02,4.57031E-03,8.86719E-02,-1.46484E-03,4.92578E-02
-4.4903008E-02,1.43359E-02,-8.98437E-03,-3.41797E-03,6.87891E-02
-4.4902320E-02,1.43359E-02,-3.01953E-01,-3.41797E-03,1.01953E-02
-4.4901632E-02,2.41016E-02,8.86719E-02,-5.37109E-03,-9.33594E-03
-4.4900944E-02,2.41016E-02,-8.98437E-03,-2.44141E-03,-1.91016E-02
-4.4900256E-02,4.57031E-03,-8.98437E-03,-3.41797E-03,-3.86328E-02
-4.4899568E-02,1.43359E-02,1.86328E-01,-1.46484E-03,-9.33594E-03
-4.4898880E-02,2.41016E-02,8.86719E-02,-3.41797E-03,1.99609E-02
-4.4898192E-02,2.41016E-02,1.86328E-01,4.88281E-04,1.99609E-02
-4.4897504E-02,-1.49609E-02,-1.06641E-01,-3.41797E-03,1.99609E-02
-4.4896816E-02,4.36328E-02,8.86719E-02,-4.88281E-04,2.97266E-02
-4.4896128E-02,5.33984E-02,-8.98437E-03,-2.44141E-03,3.94922E-02
-4.4895440E-02,1.43359E-02,1.86328E-01,-4.39453E-03,5.90234E-02
-4.4894752E-02,3.38672E-02,2.83984E-01,-3.41797E-03,5.90234E-02
-4.4894064E-02,1.43359E-02,2.83984E-01,-5.37109E-03,3.94922E-02
-4.4893376E-02,-5.19531E-03,1.86328E-01,-1.46484E-03,4.92578E-02
-4.4892688E-02,-5.19531E-03,1.86328E-01,-4.88281E-04,1.99609E-02
-4.4892000E-02,-5.19531E-03,1.86328E-01,-4.88281E-04,-9.33594E-03
-4.4891312E-02,1.43359E-02,8.86719E-02,-3.41797E-03,-9.33594E-03
-4.4890624E-02,-4.42578E-02,-8.98437E-03,4.88281E-04,1.01953E-02
-4.4889936E-02,-5.19531E-03,-1.06641E-01,-3.41797E-03,4.29687E-04
-4.4889248E-02,4.57031E-03,-1.06641E-01,4.88281E-04,1.01953E-02
-4.4888560E-02,-5.19531E-03,8.86719E-02,-1.46484E-03,2.97266E-02
-4.4887872E-02,-1.49609E-02,-4.97266E-01,-4.39453E-03,3.94922E-02
-4.4887184E-02,-3.44922E-02,-1.06641E-01,-3.41797E-03,3.94922E-02
-4.4886496E-02,4.57031E-03,-2.04297E-01,-1.46484E-03,1.99609E-02
-4.4885808E-02,2.41016E-02,1.86328E-01,-1.46484E-03,3.94922E-02
-4.4885120E-02,3.38672E-02,-8.98437E-03,4.88281E-04,1.99609E-02
-4.4884432E-02,4.57031E-03,8.86719E-02,-2.44141E-03,1.99609E-02
-4.4883744E-02,4.57031E-03,-8.98437E-03,-2.44141E-03,4.29687E-04
